t [s],a [m/s^2]
1.29,0.04736375
1.295,0.05696148
1.3,0.04425222
1.305,0.01053995
1.31,-0.01725032
1.315,-0.01911159
1.32,-0.002329256
1.325,0.007879175
1.33,-0.001315593
1.335,-0.01979466
1.34,-0.03568893
1.345,-0.0494942
1.35,-0.06383847
1.355,-0.07412574
1.36,-0.072441
1.365,-0.05967627
1.37,-0.04960454
1.375,-0.04999281
1.38,-0.04903008
1.385,-0.02987834
1.39,0.003456387
1.395,0.02628712
1.4,0.02308985
1.405,0.003936581
1.41,-0.01562269
1.415,-0.03204796
1.42,-0.04281322
1.425,-0.04051349
1.43,-0.02626276
1.435,-0.004913429
1.44,0.0212657
1.445,0.04748943
1.45,0.06621216
1.455,0.06493489
1.46,0.03751963
1.465,-0.00189124
1.47,-0.02920391
1.475,-0.03157018
1.48,-0.01484744
1.485,0.007311887
1.49,0.02292302
1.495,0.02770375
1.5,0.02204448
1.505,0.008486813
1.51,-0.006362255
1.515,-0.01578232
1.52,-0.01613159
1.525,-0.00619036
1.53,0.01321887
1.535,0.0362976
1.54,0.05260333
1.545,0.05035907
1.55,0.0232228
1.555,-0.01702047
1.56,-0.04332674
1.565,-0.03564101
1.57,-0.001835776
1.575,0.03260446
1.58,0.04627819
1.585,0.03210892
1.59,-0.001262749
1.595,-0.03955462
1.6,-0.07460088
1.605,-0.1021162
1.61,-0.1162764
1.615,-0.1176167
1.62,-0.112697
1.625,-0.1010072
1.63,-0.0800645
1.635,-0.05755376
1.64,-0.04628503
1.645,-0.0540813
1.65,-0.07293157
1.655,-0.08910884
1.66,-0.09641811
1.665,-0.09484438
1.67,-0.08585064
1.675,-0.07055791
1.68,-0.05372918
1.685,-0.03537245
1.69,-0.01090372
1.695,0.02198301
1.7,0.06186675
1.705,0.1033485
1.71,0.1385182
1.715,0.1621479
1.72,0.1706877
1.725,0.1633574
1.73,0.1420471
1.735,0.1083669
1.74,0.0720306
1.745,0.04585733
1.75,0.03183706
1.755,0.02765479
1.76,0.03240453
1.765,0.04109126
1.77,0.04720199
1.775,0.05053272
1.78,0.05684945
1.785,0.07060418
1.79,0.08473492
1.795,0.08517465
1.8,0.06541537
1.805,0.03232611
1.81,-0.0008229987
1.815,-0.02696943
1.82,-0.0442417
1.825,-0.04905296
1.83,-0.04552223
1.835,-0.0450795
1.84,-0.04939577
1.845,-0.04931004
1.85,-0.04061531
1.855,-0.02987357
1.86,-0.02641784
1.865,-0.03438511
1.87,-0.05044638
1.875,-0.06850165
1.88,-0.08312491
1.885,-0.09334418
1.89,-0.09811746
1.895,-0.08749272
1.9,-0.05035599
1.905,0.009294442
1.91,0.06918547
1.915,0.1043972
1.92,0.1096369
1.925,0.09434067
1.93,0.0656584
1.935,0.02728913
1.94,-0.01610314
1.945,-0.05905141
1.95,-0.09808268
1.955,-0.1314349
1.96,-0.1554752
1.965,-0.1649955
1.97,-0.1560258
1.975,-0.125916
1.98,-0.07487229
1.985,-0.009722153
1.99,0.05481818
1.995,0.1000129
2,0.1184026
2.005,0.1181624
2.01,0.1151321
2.015,0.1174618
2.02,0.1190516
2.025,0.1138413
2.03,0.103601
2.035,0.09556876
2.04,0.0941015
2.045,0.09410523
2.05,0.09061996
2.055,0.08414069
2.06,0.07579942
