t [s],a [m/s^2]
1.33,0.02066628
1.335,0.1321821
1.34,0.146092
1.345,0.1127519
1.35,0.1184917
1.355,0.1790716
1.36,0.2285314
1.365,0.2230713
1.37,0.1757412
1.375,0.107921
1.38,0.01136187
1.385,-0.1132493
1.39,-0.2140394
1.395,-0.2289796
1.4,-0.1510197
1.405,-0.04206384
1.41,0.02628002
1.415,0.05549587
1.42,0.09300873
1.425,0.1613396
1.43,0.2421294
1.435,0.2910593
1.44,0.2712892
1.445,0.170339
1.45,0.007541282
1.455,-0.1769513
1.46,-0.3334214
1.465,-0.4207616
1.47,-0.4513717
1.475,-0.4339318
1.48,-0.330382
1.485,-0.1417821
1.49,0.06487375
1.495,0.2029476
1.5,0.2438775
1.505,0.2276273
1.51,0.1755672
1.515,0.07865404
1.52,-0.0553751
1.525,-0.1806732
1.53,-0.2477134
1.535,-0.2432935
1.54,-0.1903437
1.545,-0.1176138
1.55,-0.04676195
1.555,0.0124369
1.56,0.06441277
1.565,0.1029556
1.57,0.1225155
1.575,0.1319153
1.58,0.1321752
1.585,0.1030951
1.59,0.02568191
1.595,-0.07444323
1.6,-0.1369054
1.605,-0.1335855
1.61,-0.07388966
1.615,0.0258122
1.62,0.1270741
1.625,0.1947239
1.63,0.2276938
1.635,0.2483136
1.64,0.2657235
1.645,0.2579733
1.65,0.2078532
1.655,0.1280531
1.66,0.05476193
1.665,-0.002624015
1.67,-0.06070336
1.675,-0.1178175
1.68,-0.1472676
1.685,-0.1317378
1.69,-0.09044492
1.695,-0.05457006
1.7,-0.02759321
1.705,-0.006470949
1.71,0.001039109
1.715,-0.01184163
1.72,-0.02654677
1.725,-0.03648192
1.73,-0.06530505
1.735,-0.1137692
1.74,-0.1317093
1.745,-0.07967048
1.75,0.001582875
1.755,0.05013023
1.76,0.06521109
1.765,0.06941295
1.77,0.04512481
1.775,-0.02702033
1.78,-0.1077905
1.785,-0.1330806
1.79,-0.08409476
1.795,0.006877499
1.8,0.08369796
1.805,0.1175888
1.81,0.1365287
1.815,0.1861185
1.82,0.2602284
1.825,0.3110383
1.83,0.3238181
1.835,0.300878
1.84,0.2327278
1.845,0.1124777
1.85,-0.02158946
1.855,-0.0944376
1.86,-0.06902974
1.865,0.005872014
1.87,0.04055197
1.875,0.00804753
1.88,-0.06652531
1.885,-0.1509134
1.89,-0.1955436
1.895,-0.1702737
1.9,-0.09478188
1.905,-0.01203702
1.91,0.06426584
1.915,0.1379457
1.92,0.1740156
1.925,0.1136254
1.93,-0.03761073
1.935,-0.2029649
1.94,-0.320715
1.945,-0.4119051
1.95,-0.4926553
1.955,-0.5123155
1.96,-0.4303456
1.965,-0.2771957
1.97,-0.1227959
1.975,-0.012326
1.98,0.04106185
1.985,0.03513271
1.99,-0.007672631
1.995,-0.02566457
2,0.006200186
2.005,0.03118614
2.01,0.006434202
2.015,-0.02176014
2.02,0.03196672
2.025,0.1694026
2.03,0.3006824
2.035,0.3721823
2.04,0.4112222
2.045,0.459692
2.05,0.4965319
2.055,0.4691317
2.06,0.3819416
2.065,0.2816714
2.07,0.1936813
2.075,0.1136312
2.08,0.03935002
2.085,-0.02498712
2.09,-0.08575027
2.095,-0.1615594
2.1,-0.2179296
2.105,-0.2102597
2.11,-0.1703098
2.115,-0.16249
2.12,-0.2034801
2.125,-0.2489903
2.13,-0.2657304
2.135,-0.2779706
2.14,-0.3435007
2.145,-0.4599108
2.15,-0.550391
2.155,-0.5408411
2.16,-0.4408813
2.165,-0.3243114
2.17,-0.2436915
2.175,-0.1991617
2.18,-0.1618518
2.185,-0.117592
2.19,-0.0706261
2.195,-0.02166024
2.2,0.04575261
2.205,0.1362675
2.21,0.2381273
2.215,0.3529872
2.22,0.483537
2.225,0.6032269
2.23,0.6560068
2.235,0.6085666
2.24,0.4825765
2.245,0.3299963
2.25,0.1892762
2.255,0.06453005
2.26,-0.03155109
2.265,-0.06463823
2.27,-0.03247337
2.275,0.01284049
2.28,-0.003376454
2.285,-0.1326148
2.29,-0.3297549
2.295,-0.4730051
2.3,-0.4936952
2.305,-0.4400354
2.31,-0.3923255
2.315,-0.3683757
2.32,-0.3144658
2.325,-0.1857959
2.33,-0.01683007
2.335,0.1266238
2.34,0.2328537
2.345,0.3544435
2.35,0.5015033
2.355,0.5890532
2.36,0.5453531
2.365,0.3925929
2.37,0.2124428
2.375,0.08545065
2.38,0.04919151
2.385,0.06957937
2.39,0.09881523
2.395,0.1074521
2.4,0.08386494
2.405,0.0506708
2.41,0.03074466
2.415,0.01185252
2.42,-0.02233562
2.425,-0.05534777
2.43,-0.05971291
2.435,-0.05674705
2.44,-0.09338019
2.445,-0.1661693
2.45,-0.2340495
2.455,-0.2519796
2.46,-0.2046298
2.465,-0.1382099
2.47,-0.10264
2.475,-0.1043902
2.48,-0.1366903
2.485,-0.1861105
2.49,-0.2232106
2.495,-0.2054107
2.5,-0.1121909
2.505,0.02060897
2.51,0.1128988
2.515,0.1268287
2.52,0.09917454
2.525,0.0736424
2.53,0.04574626
2.535,-0.003004385
2.54,-0.06520503
2.545,-0.1127922
2.55,-0.1423523
2.555,-0.1859024
2.56,-0.2473126
2.565,-0.2867227
2.57,-0.2809529
2.575,-0.253563
2.58,-0.2423932
2.585,-0.2532433
2.59,-0.2666335
2.595,-0.2579336
2.6,-0.2140237
2.605,-0.1372139
2.61,-0.05111701
2.615,0.01227285
2.62,0.0399227
2.625,0.05070656
2.63,0.08857742
2.635,0.1705353
2.64,0.2622151
2.645,0.308965
2.65,0.3013048
2.655,0.2901547
2.66,0.3106646
2.665,0.3429044
2.67,0.3439043
2.675,0.3053741
2.68,0.251784
2.685,0.2141639
2.69,0.2140137
2.695,0.2416536
2.7,0.2871434
2.705,0.3615033
2.71,0.4608831
2.715,0.548733
2.72,0.5754529
2.725,0.5451328
2.73,0.4887826
2.735,0.4056424
2.74,0.2756123
2.745,0.1283622
2.75,0.01619602
2.755,-0.07482912
2.76,-0.1812683
2.765,-0.2759784
2.77,-0.2958786
2.775,-0.2434487
2.78,-0.1804988
2.785,-0.137709
2.79,-0.08370612
2.795,0.01607474
2.8,0.1322606
2.805,0.1897805
2.81,0.1266603
2.815,-0.04564682
2.82,-0.24284
2.825,-0.3922401
2.83,-0.4791802
2.835,-0.5113604
2.84,-0.4988405
2.845,-0.4588407
2.85,-0.3972108
2.855,-0.324441
2.86,-0.2675711
2.865,-0.2476712
2.87,-0.2527814
2.875,-0.2528215
2.88,-0.2327417
2.885,-0.2106818
2.89,-0.208492
2.895,-0.2143121
2.9,-0.2196022
2.905,-0.2184024
2.91,-0.1908725
2.915,-0.1314827
2.92,-0.0664588
2.925,-0.03543594
2.93,-0.05092709
2.935,-0.1089932
2.94,-0.1800234
2.945,-0.2096135
2.95,-0.1711437
2.955,-0.0789518
2.96,0.02980206
2.965,0.1330559
2.97,0.2420458
2.975,0.3490656
2.98,0.4150255
2.985,0.4114853
2.99,0.3578452
2.995,0.2957251
3,0.2523349
3.005,0.2324648
3.01,0.2383846
3.015,0.2716245
3.02,0.3044144
3.025,0.3104642
3.03,0.2957441
