t [s],a [m/s^2]
1.31,-0.1287378
1.315,-0.1598574
1.32,-0.177077
1.325,-0.2024065
1.33,-0.2403261
1.335,-0.2679657
1.34,-0.2598252
1.345,-0.2160848
1.35,-0.1536544
1.355,-0.08799396
1.36,-0.02291053
1.365,0.0412349
1.37,0.09494232
1.375,0.1391578
1.38,0.1848982
1.385,0.2351986
1.39,0.281109
1.395,0.3015695
1.4,0.2812299
1.405,0.2253803
1.41,0.1560107
1.415,0.09685218
1.42,0.05980461
1.425,0.03857804
1.43,0.02341646
1.435,0.003059092
1.44,-0.02420968
1.445,-0.04305025
1.45,-0.04952282
1.455,-0.05793339
1.46,-0.07260897
1.465,-0.08209154
1.47,-0.07688911
1.475,-0.06372568
1.48,-0.05760825
1.485,-0.06360482
1.49,-0.0762594
1.495,-0.08849097
1.5,-0.09466254
1.505,-0.08880112
1.51,-0.07097568
1.515,-0.04457526
1.52,-0.02029283
1.525,-0.0043948
1.53,0.003026728
1.535,-0.0003864941
1.54,-0.01016112
1.545,-0.02002169
1.55,-0.02960026
1.555,-0.03874383
1.56,-0.0443884
1.565,-0.04300497
1.57,-0.03524755
1.575,-0.02848412
1.58,-0.03022869
1.585,-0.04355526
1.59,-0.05842384
1.595,-0.0577384
1.6,-0.03483498
1.605,-0.0002125093
1.61,0.02786188
1.615,0.03663731
1.62,0.03405574
1.625,0.03701916
1.63,0.04243059
1.635,0.03689902
1.64,0.01954745
1.645,-0.001754624
1.65,-0.0240817
1.655,-0.04432227
1.66,-0.05794184
1.665,-0.06286641
1.67,-0.06337498
1.675,-0.06291255
1.68,-0.05353513
1.685,-0.0242397
1.69,0.02271373
1.695,0.07126316
1.7,0.1089556
1.705,0.133806
1.71,0.1435964
1.715,0.1263969
1.72,0.0828443
1.725,0.03635873
1.73,-0.0003752345
1.735,-0.02933242
1.74,-0.05441799
1.745,-0.07141956
1.75,-0.07303213
1.755,-0.0682717
1.76,-0.07162727
1.765,-0.08811285
1.77,-0.1104184
1.775,-0.120048
1.78,-0.1115276
1.785,-0.1007971
1.79,-0.1021467
1.795,-0.1104963
1.8,-0.1054858
1.805,-0.07865842
1.81,-0.03767599
1.815,0.01164743
1.82,0.06841886
1.825,0.1273663
1.83,0.1667567
1.835,0.1764771
1.84,0.1723676
1.845,0.170528
1.85,0.1725784
1.855,0.1712189
1.86,0.1524693
1.865,0.1092797
1.87,0.05201814
1.875,-0.0009397268
1.88,-0.038601
1.885,-0.06377157
1.89,-0.08188814
1.895,-0.08709472
1.9,-0.07214128
1.905,-0.04475586
1.91,-0.02350543
1.915,-0.021802
1.92,-0.03724957
1.925,-0.05447914
1.93,-0.06776672
1.935,-0.07713129
1.94,-0.08239886
1.945,-0.08692543
1.95,-0.09188101
1.955,-0.09208158
1.96,-0.08142315
1.965,-0.06799872
1.97,-0.07366529
1.975,-0.1004209
1.98,-0.1208204
1.985,-0.11527
1.99,-0.09243258
1.995,-0.07225215
2,-0.05887472
2.005,-0.03841129
2.01,-0.0006605755
2.015,0.04148756
2.02,0.07133399
2.025,0.09498642
2.03,0.1288238
2.035,0.1758943
2.04,0.2246547
2.045,0.2621951
2.05,0.2779556
2.055,0.261626
2.06,0.2099764
2.065,0.1390768
2.07,0.06531827
2.075,-0.0101303
2.08,-0.08228087
2.085,-0.1350614
2.09,-0.153551
2.095,-0.1399806
2.1,-0.1159002
2.105,-0.1009297
2.11,-0.0977133
2.115,-0.09499387
2.12,-0.08799744
2.125,-0.09636702
2.13,-0.1399376
2.135,-0.2158572
2.14,-0.3031667
2.145,-0.3782063
2.15,-0.4274959
2.155,-0.4515755
2.16,-0.449335
2.165,-0.4192746
2.17,-0.3679442
2.175,-0.2989537
2.18,-0.2155033
2.185,-0.1209729
2.19,-0.02432945
2.195,0.06090798
2.2,0.1284984
2.205,0.1864388
2.21,0.2433093
2.215,0.2956397
2.22,0.3401401
2.225,0.3814305
2.23,0.426181
2.235,0.4780914
2.24,0.5261118
2.245,0.5499023
2.25,0.5403227
2.255,0.5073231
2.26,0.4638135
2.265,0.406204
2.27,0.3200944
2.275,0.2006948
2.28,0.06512026
2.285,-0.04772231
2.29,-0.1010039
2.295,-0.09772846
2.3,-0.06767303
2.305,-0.0287176
2.31,0.007687326
2.315,0.02366325
2.32,0.004333183
2.325,-0.05941889
2.33,-0.1579705
2.335,-0.25519
2.34,-0.3161596
2.345,-0.3317092
2.35,-0.3171588
2.355,-0.2874183
2.36,-0.2460279
2.365,-0.1912475
2.37,-0.121677
2.375,-0.04291961
2.38,0.03669782
2.385,0.1096442
2.39,0.1761347
2.395,0.2390551
2.4,0.2912355
2.405,0.315056
2.41,0.3012164
2.415,0.2619268
2.42,0.2208572
2.425,0.1898277
2.43,0.1616581
2.435,0.1389185
2.44,0.137419
2.445,0.1625594
2.45,0.2046998
2.455,0.2480602
2.46,0.2822507
2.465,0.2964311
2.47,0.2711815
2.475,0.200712
2.48,0.1099624
2.485,0.02704181
2.49,-0.03864276
2.495,-0.08711733
2.5,-0.1210259
2.505,-0.1388555
2.51,-0.135755
2.515,-0.1105246
2.52,-0.06292019
2.525,0.003111738
2.53,0.08162867
2.535,0.1661871
2.54,0.2431275
2.545,0.3021379
2.55,0.3374684
2.555,0.3460388
2.56,0.3326192
2.565,0.3023097
2.57,0.2621301
2.575,0.2142505
2.58,0.162901
2.585,0.1180814
2.59,0.08564681
2.595,0.06633423
2.6,0.04726166
2.605,0.00326939
2.61,-0.07748649
2.615,-0.1769461
2.62,-0.2702756
2.625,-0.3446952
2.63,-0.3892648
2.635,-0.3932043
2.64,-0.3457939
2.645,-0.2403035
2.65,-0.08168106
2.655,0.1084674
2.66,0.3013678
2.665,0.4782582
2.67,0.6263586
2.675,0.7325991
2.68,0.7846295
2.685,0.7745399
2.69,0.7089004
2.695,0.5986908
2.7,0.4381112
2.705,0.2296517
2.71,0.01454608
2.715,-0.1648675
2.72,-0.296717
2.725,-0.3802666
2.73,-0.4073662
2.735,-0.3641958
2.74,-0.2594953
2.745,-0.1269549
2.75,0.01549751
2.755,0.1709059
2.76,0.3242364
2.765,0.4460468
2.77,0.5103572
2.775,0.5026976
2.78,0.4354281
2.785,0.3334885
2.79,0.2160589
2.795,0.08893836
2.8,-0.05735421
2.805,-0.2267198
2.81,-0.4029294
2.815,-0.551239
2.82,-0.6466485
2.825,-0.696678
2.83,-0.7181576
2.835,-0.7093472
2.84,-0.6672068
2.845,-0.5985063
2.85,-0.5142059
2.855,-0.4304855
2.86,-0.3661251
2.865,-0.3352746
2.87,-0.3362042
2.875,-0.3646338
2.88,-0.4272934
2.885,-0.5363429
2.89,-0.6966725
2.895,-0.8902321
2.9,-1.078452
2.905,-1.236451
2.91,-1.360951
2.915,-1.45125
2.92,-1.50485
2.925,-1.518849
2.93,-1.484749
2.935,-1.394549
2.94,-1.250848
2.945,-1.058848
2.95,-0.8244174
2.955,-0.5657269
2.96,-0.3127065
2.965,-0.09091308
2.97,0.08915035
2.975,0.2298848
2.98,0.3439852
2.985,0.4437456
2.99,0.5418761
2.995,0.6448565
3,0.7376669
3.005,0.7980874
3.01,0.8148378
3.015,0.7887982
3.02,0.7226287
3.025,0.627099
3.03,0.5207195
3.035,0.4214399
3.04,0.3436503
3.045,0.2958408
3.05,0.2871912
3.055,0.3201216
3.06,0.377032
3.065,0.4355425
3.07,0.4877129
3.075,0.5352134
3.08,0.5801638
3.085,0.6153842
3.09,0.6280646
3.095,0.616295
3.1,0.5795755
3.105,0.5111059
3.11,0.4020063
3.115,0.2526968
3.12,0.07583919
3.125,-0.1102924
3.13,-0.2940519
3.135,-0.4691115
3.14,-0.6238111
3.145,-0.7478006
3.15,-0.8335902
3.155,-0.8777998
3.16,-0.8811594
3.165,-0.8440189
3.17,-0.7670885
3.175,-0.6466981
3.18,-0.4803777
3.185,-0.2779073
3.19,-0.06310481
3.195,0.1276736
3.2,0.264014
3.205,0.3330245
3.21,0.3355249
3.215,0.2863953
3.22,0.2001658
3.225,0.09004819
3.23,-0.02421039
3.235,-0.125973
3.24,-0.2106525
3.245,-0.2797521
3.25,-0.3298817
3.255,-0.3466313
3.26,-0.3117608
3.265,-0.2065104
3.27,-0.02942896
3.275,0.1906905
3.28,0.4153209
3.285,0.6272013
3.29,0.8285617
3.295,1.009482
3.3,1.147883
3.305,1.241883
3.31,1.301183
3.315,1.316484
3.32,1.274184
3.325,1.172385
3.33,1.019485
3.335,0.8381856
3.34,0.654856
3.345,0.4881565
3.35,0.3535269
3.355,0.2626873
3.36,0.2197278
3.365,0.2190982
3.37,0.2488386
3.375,0.295839
3.38,0.3488294
3.385,0.4065099
3.39,0.4732203
3.395,0.5414608
3.4,0.5824312
3.405,0.5649616
3.41,0.488072
3.415,0.3769025
3.42,0.2635729
3.425,0.1713933
3.43,0.1038937
3.435,0.06226017
3.44,0.0561986
3.445,0.09050602
3.45,0.1620554
3.455,0.2666659
3.46,0.4077163
3.465,0.5873967
3.47,0.7899672
3.475,0.9914276
3.48,1.166698
3.485,1.299298
3.49,1.387199
3.495,1.431699
3.5,1.4424
3.505,1.4255
3.51,1.379101
3.515,1.312301
3.52,1.230701
3.525,1.114202
3.53,0.9390423
3.535,0.7033527
3.54,0.4156032
3.545,0.08580359
3.55,-0.273766
3.555,-0.6522955
3.56,-1.034495
3.565,-1.395195
3.57,-1.704494
3.575,-1.944894
3.58,-2.132193
3.585,-2.294493
3.59,-2.437392
3.595,-2.548492
3.6,-2.615492
3.605,-2.624391
3.61,-2.558391
3.615,-2.40869
3.62,-2.18409
3.625,-1.91239
3.63,-1.614189
3.635,-1.287589
3.64,-0.9407783
3.645,-0.6036279
3.65,-0.2975474
3.655,-0.03412199
3.66,0.1713134
3.665,0.3056639
3.67,0.3689043
3.675,0.3670347
3.68,0.3068052
3.685,0.2041256
3.69,0.08171401
3.695,-0.04002656
3.7,-0.1576631
3.705,-0.2841327
3.71,-0.4317223
3.715,-0.5847719
3.72,-0.7045214
3.725,-0.761871
3.73,-0.7535406
3.735,-0.6891601
3.74,-0.5805097
3.745,-0.4462993
3.75,-0.2986988
3.755,-0.1416384
3.76,-0.011669
3.765,0.01698243
3.77,-0.07603514
3.775,-0.2210367
3.78,-0.3359563
3.785,-0.3888758
3.79,-0.3975854
3.795,-0.399005
3.8,-0.4126646
3.805,-0.4210641
3.81,-0.3990037
3.815,-0.3450633
3.82,-0.2696229
3.825,-0.1768324
3.83,-0.06429201
3.835,0.06775142
3.84,0.2135489
3.845,0.3588793
3.85,0.4888497
3.855,0.5819801
3.86,0.6189306
3.865,0.606131
3.87,0.5703614
3.875,0.5451118
3.88,0.5455023
3.885,0.5640627
3.89,0.5889232
3.895,0.6125736
3.9,0.626144
3.905,0.6228144
3.91,0.6023548
3.915,0.5646853
3.92,0.5120157
3.925,0.4491961
3.93,0.3828066
3.935,0.320217
3.94,0.2625474
3.945,0.2052379
3.95,0.1435883
3.955,0.0748777
3.96,0.009134531
3.965,-0.02380444
3.97,-0.001903313
3.975,0.07180441
3.98,0.1813208
3.985,0.3007613
3.99,0.4067217
3.995,0.4965921
4,0.5850326
4.005,0.674713
4.01,0.7359134
4.015,0.7466639
4.02,0.7284943
4.025,0.7082447
4.03,0.6781752
4.035,0.6233456
4.04,0.549526
4.045,0.4645464
4.05,0.3673368
4.055,0.2539173
4.06,0.1234577
4.065,-0.02477688
4.07,-0.1867914
4.075,-0.351561
4.08,-0.5018506
4.085,-0.6197101
4.09,-0.6991698
4.095,-0.7382893
4.1,-0.7381289
4.105,-0.7047185
4.11,-0.646638
4.115,-0.5763676
4.12,-0.5067072
4.125,-0.4474367
4.13,-0.4023463
4.135,-0.3554259
4.14,-0.2868955
4.145,-0.202765
4.15,-0.1302146
4.155,-0.08126617
4.16,-0.04900874
4.165,-0.02967931
4.17,-0.02379788
4.175,-0.03506446
4.18,-0.06766203
4.185,-0.1147616
4.19,-0.1694712
4.195,-0.2343007
4.2,-0.3125103
4.205,-0.4076699
4.21,-0.5174795
4.215,-0.633109
4.22,-0.7427686
4.225,-0.8292082
4.23,-0.8765578
4.235,-0.8818473
4.24,-0.8537769
4.245,-0.7945865
4.25,-0.700206
4.255,-0.5798356
4.26,-0.4515252
4.265,-0.3252147
4.27,-0.2025543
4.275,-0.0866809
4.28,0.02353453
4.285,0.132917
4.29,0.2439774
4.295,0.3543878
4.3,0.4529583
4.305,0.5368487
4.31,0.6220691
4.315,0.7134495
4.32,0.7931899
4.325,0.8487504
4.33,0.8849708
4.335,0.9046012
4.34,0.9095817
4.345,0.9054621
4.35,0.8892425
4.355,0.853043
4.36,0.7985534
4.365,0.7332338
4.37,0.6639742
4.375,0.5947047
4.38,0.5255451
4.385,0.4492355
4.39,0.364696
4.395,0.2758464
4.4,0.1818768
4.405,0.08621924
4.41,-0.01159933
4.415,-0.1144319
4.42,-0.2166815
4.425,-0.316061
4.43,-0.4138206
4.435,-0.5018102
4.44,-0.5665498
4.445,-0.6086593
4.45,-0.6328189
4.455,-0.6372385
4.46,-0.622988
4.465,-0.5998976
4.47,-0.5745472
4.475,-0.5421168
4.48,-0.4984863
4.485,-0.4456559
4.49,-0.3894155
4.495,-0.329915
4.5,-0.2599646
4.505,-0.1777142
4.51,-0.08626777
4.515,0.00352006
4.52,0.07623209
4.525,0.1284075
4.53,0.167808
4.535,0.1995984
4.54,0.2250488
4.545,0.2528792
4.55,0.2921596
4.555,0.3390601
4.56,0.3777205
4.565,0.397231
4.57,0.3969114
4.575,0.3777418
4.58,0.3395322
4.585,0.2821127
4.59,0.2050131
4.595,0.1100835
4.6,0.003397339
4.605,-0.1050956
4.61,-0.2024652
4.615,-0.2778948
4.62,-0.3218344
4.625,-0.3301339
4.63,-0.3084035
4.635,-0.2630631
4.64,-0.1919626
4.645,-0.09715321
4.65,0.01856922
4.655,0.1635386
4.66,0.3377291
4.665,0.5276295
4.67,0.7265899
4.675,0.9301704
4.68,1.127901
4.685,1.309301
4.69,1.468902
4.695,1.594902
4.7,1.680902
4.705,1.733603
4.71,1.758003
4.715,1.751704
4.72,1.715404
4.725,1.656905
4.73,1.570805
4.735,1.440905
4.74,1.268606
4.745,1.083506
4.75,0.9129268
4.755,0.7576972
4.76,0.6062676
4.765,0.4510681
4.77,0.2955785
4.775,0.1436189
4.78,-0.001319345
4.785,-0.1335202
4.79,-0.2506298
4.795,-0.3546994
4.8,-0.4405789
4.805,-0.5039585
4.81,-0.5510281
